dataID,originalLabel,trueLabel,llama3.2:1b_EMO01,e1,e2,title,abstract,llama3.2:1b_EMO01__raw
0,cid,1,0,famotidine,delirium,famotidine-associated delirium. a series of six cases.,"famotidine is a histamine h2-receptor antagonist used in inpatient settings for prevention of stress ulcers and is showing increasing popularity because of its low cost. although all of the currently available h2-receptor antagonists have shown the propensity to cause delirium, only two previously reported cases have been associated with famotidine. the authors report on six cases of famotidine-associated delirium in hospitalized patients who cleared completely upon removal of famotidine. the pharmacokinetics of famotidine are reviewed, with no change in its metabolism in the elderly population seen. the implications of using famotidine in elderly persons are discussed.","1: No
2: No
3: No
4: No
5: No
6: No"
1,none,0,0,famotidine,ulcers,famotidine-associated delirium. a series of six cases.,"famotidine is a histamine h2-receptor antagonist used in inpatient settings for prevention of stress ulcers and is showing increasing popularity because of its low cost. although all of the currently available h2-receptor antagonists have shown the propensity to cause delirium, only two previously reported cases have been associated with famotidine. the authors report on six cases of famotidine-associated delirium in hospitalized patients who cleared completely upon removal of famotidine. the pharmacokinetics of famotidine are reviewed, with no change in its metabolism in the elderly population seen. the implications of using famotidine in elderly persons are discussed.","1: No
2: No
3: No
4: No
5: No
6: No"
2,cid,1,0,indomethacin,hypotension,indomethacin induced hypotension in sodium and volume depleted rats.,"after a single oral dose of 4 mg/kg indomethacin (idm) to sodium and volume depleted rats plasma renin activity (pra) and systolic blood pressure fell significantly within four hours. in sodium repleted animals indomethacin did not change systolic blood pressure (bp) although plasma renin activity was decreased. thus, indomethacin by inhibition of prostaglandin synthesis may diminish the blood pressure maintaining effect of the stimulated renin-angiotensin system in sodium and volume depletion.","1: No
2: No
3: No
4: No
5: No"
3,none,0,0,sodium,hypotension,indomethacin induced hypotension in sodium and volume depleted rats.,"after a single oral dose of 4 mg/kg indomethacin (idm) to sodium and volume depleted rats plasma renin activity (pra) and systolic blood pressure fell significantly within four hours. in sodium repleted animals indomethacin did not change systolic blood pressure (bp) although plasma renin activity was decreased. thus, indomethacin by inhibition of prostaglandin synthesis may diminish the blood pressure maintaining effect of the stimulated renin-angiotensin system in sodium and volume depletion.","1: No
2: No
3: No
4: No
5: No"
4,cid,1,0,idm,hypotension,indomethacin induced hypotension in sodium and volume depleted rats.,"after a single oral dose of 4 mg/kg indomethacin (idm) to sodium and volume depleted rats plasma renin activity (pra) and systolic blood pressure fell significantly within four hours. in sodium repleted animals indomethacin did not change systolic blood pressure (bp) although plasma renin activity was decreased. thus, indomethacin by inhibition of prostaglandin synthesis may diminish the blood pressure maintaining effect of the stimulated renin-angiotensin system in sodium and volume depletion.","1: No
2: No
3: No
4: No
5: No"
5,none,0,0,prostaglandin,hypotension,indomethacin induced hypotension in sodium and volume depleted rats.,"after a single oral dose of 4 mg/kg indomethacin (idm) to sodium and volume depleted rats plasma renin activity (pra) and systolic blood pressure fell significantly within four hours. in sodium repleted animals indomethacin did not change systolic blood pressure (bp) although plasma renin activity was decreased. thus, indomethacin by inhibition of prostaglandin synthesis may diminish the blood pressure maintaining effect of the stimulated renin-angiotensin system in sodium and volume depletion.","1: No
2: No
3: No
4: No
5: No"
6,none,0,0,angiotensin,hypotension,indomethacin induced hypotension in sodium and volume depleted rats.,"after a single oral dose of 4 mg/kg indomethacin (idm) to sodium and volume depleted rats plasma renin activity (pra) and systolic blood pressure fell significantly within four hours. in sodium repleted animals indomethacin did not change systolic blood pressure (bp) although plasma renin activity was decreased. thus, indomethacin by inhibition of prostaglandin synthesis may diminish the blood pressure maintaining effect of the stimulated renin-angiotensin system in sodium and volume depletion.","1: No
2: No
3: No
4: No
5: No"
7,none,0,0,tacrolimus,scleroderma renal crisis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
8,none,0,1,tacrolimus,src,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
9,cid,1,0,tacrolimus,systemic sclerosis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
10,cid,1,1,tacrolimus,ssc,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
11,none,0,0,tacrolimus,thrombotic microangiopathy,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
12,none,0,1,prednisolone,scleroderma renal crisis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
13,none,0,0,prednisolone,src,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
14,none,0,1,prednisolone,systemic sclerosis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
15,none,0,0,prednisolone,ssc,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
16,none,0,1,prednisolone,thrombotic microangiopathy,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: Yes
3: No
4: Yes
5: No
6: Yes
7: No
8: Yes
9: No
10: Yes"
17,none,0,0,corticosteroid,scleroderma renal crisis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
18,none,0,0,corticosteroid,src,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
19,cid,1,0,corticosteroid,systemic sclerosis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
20,cid,1,0,corticosteroid,ssc,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
21,none,0,0,corticosteroid,thrombotic microangiopathy,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
